,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,2364.0,5054.0,1088.0,9.0,0.8711685261303582,0.9962073324905183,0.6848203939745076,0.8116738197424893
DOM_Levenshtein,2341.0,2889.0,3253.0,32.0,0.6142102172636523,0.9865149599662874,0.418484090096532,0.5876741558930588
DOM_contentHash,2334.0,5543.0,599.0,39.0,0.9250733998825602,0.9835651074589128,0.7957722468462325,0.8797587636637769
DOM_SIMHASH,2373.0,762.0,5380.0,0.0,0.36817381092190254,1.0,0.30607506771572296,0.46869444993087106
VISUAL_BlockHash,1626.0,4877.0,1265.0,747.0,0.7637110980622431,0.6852085967130215,0.562435143548945,0.6177811550151976
VISUAL_PHash,1376.0,3582.0,2560.0,997.0,0.5822665883734586,0.5798567214496418,0.34959349593495936,0.4362022507528927
VISUAL_Hyst,2373.0,0.0,6142.0,0.0,0.2786846741045214,1.0,0.2786846741045214,0.4358927259368111
VISUAL_PDiff,2320.0,1552.0,4590.0,53.0,0.4547269524368761,0.9776654024441636,0.3357452966714906,0.4998384143057202
VISUAL_SIFT,2373.0,0.0,6142.0,0.0,0.2786846741045214,1.0,0.2786846741045214,0.4358927259368111
VISUAL_SSIM,0.0,6142.0,0.0,2373.0,0.7213153258954785,0.0,0.0,0.0
TLSH_nativ,2373.0,5880.0,262.0,0.0,0.9692307692307692,1.0,0.9005692599620493,0.9476837060702875
TLSH_hash2vec,45.0,6132.0,10.0,2328.0,0.7254257193188491,0.018963337547408345,0.8181818181818182,0.0370675453047776
