,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,2778.0,14505.0,483.0,0.0,0.9728132387706856,1.0,0.8518859245630175,0.920019870839543
DOM_Levenshtein,2208.0,12116.0,2872.0,570.0,0.8062591466846786,0.7948164146868251,0.4346456692913386,0.56197505726648
DOM_contentHash,2778.0,9719.0,5269.0,0.0,0.7034222672520545,1.0,0.34522182179694294,0.5132563510392609
DOM_SIMHASH,2778.0,11326.0,3662.0,0.0,0.793875942812113,1.0,0.43136645962732917,0.602733781731395
VISUAL_BlockHash,2778.0,14862.0,126.0,0.0,0.9929078014184397,1.0,0.9566115702479339,0.9778247096092925
VISUAL_PHash,2775.0,4804.0,10184.0,3.0,0.426601373409884,0.9989200863930886,0.21413689327880236,0.35267204676876146
VISUAL_Hyst,2778.0,0.0,14988.0,0.0,0.1563660925363053,1.0,0.1563660925363053,0.27044392523364486
VISUAL_PDiff,2778.0,13570.0,1418.0,0.0,0.9201846223122819,1.0,0.6620591039084843,0.7966733581875539
VISUAL_SIFT,2763.0,4709.0,10279.0,15.0,0.4205786333445908,0.9946004319654428,0.21185401012114707,0.34930467762326173
VISUAL_SSIM,0.0,14988.0,0.0,2778.0,0.8436339074636947,0.0,0.0,0.0
TLSH_nativ,2099.0,11344.0,3644.0,679.0,0.7566700439040864,0.7555795536357092,0.3654884206860526,0.49266518014317573
TLSH_hash2vec,35.0,14974.0,14.0,2743.0,0.8448159405606214,0.01259899208063355,0.7142857142857143,0.024761230986911926
