,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,945.0,5392.0,5291.0,0.0,0.5449776401788786,1.0,0.1515394483643361,0.2631945411502576
DOM_Levenshtein,922.0,8442.0,2241.0,23.0,0.805297557619539,0.9756613756613757,0.2914954157445463,0.4488802336903602
DOM_contentHash,945.0,1712.0,8971.0,0.0,0.22850017199862402,1.0,0.09530052440500202,0.17401712549488996
DOM_SIMHASH,932.0,5439.0,5244.0,13.0,0.5479016167870657,0.9862433862433863,0.15090673575129535,0.26176098862519315
VISUAL_BlockHash,711.0,7881.0,2802.0,234.0,0.7389060887512899,0.7523809523809524,0.20239111870196413,0.3189771197846568
VISUAL_PHash,728.0,10131.0,552.0,217.0,0.9338665290677675,0.7703703703703704,0.56875,0.6543820224719101
VISUAL_Hyst,945.0,0.0,10683.0,0.0,0.08126934984520123,1.0,0.08126934984520123,0.1503221188260558
VISUAL_PDiff,711.0,7215.0,3468.0,234.0,0.6816305469556243,0.7523809523809524,0.17013639626704954,0.2775175644028103
VISUAL_SIFT,945.0,0.0,10683.0,0.0,0.08126934984520123,1.0,0.08126934984520123,0.1503221188260558
VISUAL_SSIM,0.0,10683.0,0.0,945.0,0.9187306501547987,0.0,0.0,0.0
TLSH_nativ,935.0,2417.0,8266.0,10.0,0.28826969384244927,0.9894179894179894,0.10161938919682643,0.18430908732505422
TLSH_hash2vec,451.0,10416.0,267.0,494.0,0.9345545235638115,0.47724867724867726,0.628133704735376,0.5423932651834034
