,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,1119.0,8046.0,2160.0,0.0,0.8092715231788079,1.0,0.3412625800548948,0.5088676671214188
DOM_Levenshtein,1119.0,8299.0,1907.0,0.0,0.8316114790286976,1.0,0.3697951090548579,0.5399276236429433
DOM_contentHash,1119.0,6335.0,3871.0,0.0,0.6581898454746137,1.0,0.22424849699398797,0.3663447372728761
DOM_SIMHASH,1119.0,0.0,10206.0,0.0,0.09880794701986755,1.0,0.09880794701986755,0.1798457087753134
VISUAL_BlockHash,1050.0,7883.0,2323.0,69.0,0.7887858719646799,0.938337801608579,0.3112955825674474,0.4674977738201247
VISUAL_PHash,902.0,9156.0,1050.0,217.0,0.8881236203090508,0.8060768543342269,0.46209016393442626,0.5874308042982741
VISUAL_Hyst,1119.0,0.0,10206.0,0.0,0.09880794701986755,1.0,0.09880794701986755,0.1798457087753134
VISUAL_PDiff,1119.0,6474.0,3732.0,0.0,0.6704635761589404,1.0,0.23067408781694496,0.3748743718592965
VISUAL_SIFT,1119.0,299.0,9907.0,0.0,0.12520971302428255,1.0,0.10148739343370215,0.18427336352408397
VISUAL_SSIM,0.0,10206.0,0.0,1119.0,0.9011920529801325,0.0,0.0,0.0
TLSH_nativ,1119.0,8021.0,2185.0,0.0,0.8070640176600441,1.0,0.338680387409201,0.5059914085462356
TLSH_hash2vec,562.0,10204.0,2.0,557.0,0.9506401766004415,0.5022341376228776,0.9964539007092199,0.6678550207961974
