,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,4017.0,2847.0,4407.0,54.0,0.6060927152317881,0.9867354458364038,0.47685185185185186,0.6429771908763505
DOM_Levenshtein,4017.0,2831.0,4423.0,54.0,0.6046799116997793,0.9867354458364038,0.4759478672985782,0.6421549036847574
DOM_contentHash,4017.0,2847.0,4407.0,54.0,0.6060927152317881,0.9867354458364038,0.47685185185185186,0.6429771908763505
DOM_SIMHASH,4071.0,0.0,7254.0,0.0,0.3594701986754967,1.0,0.3594701986754967,0.5288386593920499
VISUAL_BlockHash,4016.0,2850.0,4404.0,55.0,0.6062693156732892,0.9864898059444854,0.4769596199524941,0.6430229765431111
VISUAL_PHash,3000.0,4462.0,2792.0,1071.0,0.6588962472406181,0.7369196757553427,0.5179558011049724,0.6083341782419143
VISUAL_Hyst,4071.0,0.0,7254.0,0.0,0.3594701986754967,1.0,0.3594701986754967,0.5288386593920499
VISUAL_PDiff,3001.0,4352.0,2902.0,1070.0,0.649271523178808,0.7371653156472611,0.5083855666610199,0.6017645879286144
VISUAL_SIFT,4070.0,739.0,6515.0,1.0,0.42463576158940397,0.9997543601080816,0.38450637694851203,0.5554039301310044
VISUAL_SSIM,0.0,7254.0,0.0,4071.0,0.6405298013245033,0.0,0.0,0.0
TLSH_nativ,4071.0,2355.0,4899.0,0.0,0.5674172185430464,1.0,0.45384615384615384,0.6243386243386244
TLSH_hash2vec,4.0,7254.0,0.0,4067.0,0.6408830022075055,0.0009825595676737902,1.0,0.0019631901840490794
