,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,3948.0,1343.0,4439.0,0.0,0.5437821171634122,1.0,0.4707285084058662,0.640129712201054
DOM_Levenshtein,2082.0,3458.0,2324.0,1866.0,0.5693730729701952,0.5273556231003039,0.4725374489332728,0.4984438592291118
DOM_contentHash,3948.0,818.0,4964.0,0.0,0.48982528263103803,1.0,0.44299820466786355,0.6139968895800934
DOM_SIMHASH,3948.0,1338.0,4444.0,0.0,0.5432682425488181,1.0,0.47044804575786464,0.6398703403565641
VISUAL_BlockHash,2163.0,4008.0,1774.0,1785.0,0.634224049331963,0.5478723404255319,0.5494030988061976,0.5486366518706405
VISUAL_PHash,2096.0,4612.0,1170.0,1852.0,0.6894141829393627,0.5309017223910841,0.6417636252296387,0.5810923204879401
VISUAL_Hyst,3948.0,0.0,5782.0,0.0,0.40575539568345326,1.0,0.40575539568345326,0.5772773797338793
VISUAL_PDiff,2303.0,3396.0,2386.0,1645.0,0.5857142857142857,0.5833333333333334,0.491149498827042,0.5332870209563505
VISUAL_SIFT,3948.0,0.0,5782.0,0.0,0.40575539568345326,1.0,0.40575539568345326,0.5772773797338793
VISUAL_SSIM,0.0,5782.0,0.0,3948.0,0.5942446043165468,0.0,0.0,0.0
TLSH_nativ,3944.0,1463.0,4319.0,4.0,0.5557040082219938,0.9989868287740629,0.4773084836015975,0.6459749406273032
TLSH_hash2vec,500.0,5614.0,168.0,3448.0,0.6283658787255909,0.12664640324214793,0.7485029940119761,0.21663778162911612
