,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,1455.0,8044.0,1516.0,160.0,0.8500223713646532,0.9009287925696594,0.4897340962638842,0.6345399040558221
DOM_Levenshtein,1614.0,8048.0,1512.0,1.0,0.8646085011185682,0.9993808049535604,0.5163147792706334,0.6808690149757435
DOM_contentHash,1454.0,4062.0,5498.0,161.0,0.49360178970917223,0.9003095975232198,0.20914844649021863,0.3394420450566126
DOM_SIMHASH,1615.0,0.0,9560.0,0.0,0.14451901565995526,1.0,0.14451901565995526,0.2525410476935106
VISUAL_BlockHash,1615.0,0.0,9560.0,0.0,0.14451901565995526,1.0,0.14451901565995526,0.2525410476935106
VISUAL_PHash,1615.0,0.0,9560.0,0.0,0.14451901565995526,1.0,0.14451901565995526,0.2525410476935106
VISUAL_Hyst,1615.0,0.0,9560.0,0.0,0.14451901565995526,1.0,0.14451901565995526,0.2525410476935106
VISUAL_PDiff,1615.0,0.0,9560.0,0.0,0.14451901565995526,1.0,0.14451901565995526,0.2525410476935106
VISUAL_SIFT,1615.0,0.0,9560.0,0.0,0.14451901565995526,1.0,0.14451901565995526,0.2525410476935106
VISUAL_SSIM,1615.0,0.0,9560.0,0.0,0.14451901565995526,1.0,0.14451901565995526,0.2525410476935106
TLSH_nativ,1526.0,4038.0,5522.0,89.0,0.49789709172259505,0.944891640866873,0.21651532349602723,0.3523028973796606
TLSH_hash2vec,53.0,9560.0,0.0,1562.0,0.8602237136465324,0.03281733746130031,1.0,0.06354916067146284
