,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,4596.0,1001.0,5568.0,10.0,0.5008501118568233,0.9978289188015632,0.45218417945690675,0.6223425863236289
DOM_Levenshtein,4435.0,4279.0,2290.0,171.0,0.7797762863534675,0.9628745115067303,0.6594795539033457,0.7828082252228399
DOM_contentHash,4596.0,1001.0,5568.0,10.0,0.5008501118568233,0.9978289188015632,0.45218417945690675,0.6223425863236289
DOM_SIMHASH,4579.0,2217.0,4352.0,27.0,0.6081431767337807,0.9941380807642206,0.5127085432762288,0.6765162148186451
VISUAL_BlockHash,3882.0,2628.0,3941.0,724.0,0.5825503355704698,0.8428137212331741,0.49622906813243,0.6246681148925899
VISUAL_PHash,1467.0,6425.0,144.0,3139.0,0.7062192393736018,0.3184976118106817,0.9106145251396648,0.4719317999034905
VISUAL_Hyst,4606.0,0.0,6569.0,0.0,0.41217002237136463,1.0,0.41217002237136463,0.5837399404346999
VISUAL_PDiff,3152.0,3273.0,3296.0,1454.0,0.5749440715883669,0.6843247937472862,0.48883374689826303,0.5702912972679574
VISUAL_SIFT,3615.0,1799.0,4770.0,991.0,0.48447427293064876,0.784845853234911,0.43112701252236135,0.5565391424832576
VISUAL_SSIM,0.0,6569.0,0.0,4606.0,0.5878299776286353,0.0,0.0,0.0
TLSH_nativ,4423.0,4277.0,2292.0,183.0,0.7785234899328859,0.9602692140686062,0.65867460908414,0.78137973677237
TLSH_hash2vec,4141.0,6377.0,192.0,465.0,0.9412080536912751,0.8990447242726878,0.9556888991460881,0.9265018458440542
