,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,531.0,1130.0,3190.0,0.0,0.3424036281179138,1.0,0.14270357430798172,0.2497648165569144
DOM_Levenshtein,531.0,1165.0,3155.0,0.0,0.34961863533292104,1.0,0.14405860010851873,0.25183779938344797
DOM_contentHash,531.0,899.0,3421.0,0.0,0.2947845804988662,1.0,0.13436234817813766,0.2368949364265001
DOM_SIMHASH,531.0,0.0,4320.0,0.0,0.10946196660482375,1.0,0.10946196660482375,0.19732441471571907
VISUAL_BlockHash,531.0,755.0,3565.0,0.0,0.2650999793856937,1.0,0.129638671875,0.22952236870542467
VISUAL_PHash,531.0,98.0,4222.0,0.0,0.12966398680684396,1.0,0.11171891436987166,0.20098410295230887
VISUAL_Hyst,531.0,98.0,4222.0,0.0,0.12966398680684396,1.0,0.11171891436987166,0.20098410295230887
VISUAL_PDiff,531.0,2243.0,2077.0,0.0,0.5718408575551432,1.0,0.2036042944785276,0.33832430710417327
VISUAL_SIFT,375.0,1292.0,3028.0,156.0,0.34364048649762935,0.7062146892655368,0.11019688510138113,0.19064565327910524
VISUAL_SSIM,0.0,4320.0,0.0,531.0,0.8905380333951762,0.0,0.0,0.0
TLSH_nativ,531.0,383.0,3937.0,0.0,0.18841475984333128,1.0,0.11884512085944494,0.21244248849769953
TLSH_hash2vec,75.0,4308.0,12.0,456.0,0.9035250463821892,0.14124293785310735,0.8620689655172413,0.24271844660194178
